brand,@lat,@lon
Перекресток,60.0082694,30.2119955
,59.7236685,30.6089154
,59.9325335,30.3509302
Семишагофф,59.7074250,30.0191859
Дикси,59.8901574,30.4192295
Дикси,59.9649109,30.2978147
,59.9444192,30.2385826
Пятерочка,60.1431681,30.2167874
,60.1514798,30.2055917
Дикси,60.1416427,30.2133826
,60.1428569,30.2096028
Магнит,60.1081753,30.4875601
Дикси,59.9592670,30.4218966
Пятерочка,59.9505750,30.4703052
Пятерочка,59.7270262,29.8589624
Пятерочка,60.1202375,30.4990192
Дикси,59.9476674,30.3502276
Дикси,59.9221770,30.3494327
Семишагофф,59.9535095,30.4785478
Дикси,59.9883501,30.3410641
,59.8515276,30.2613060
,59.8930216,30.3185019
Дикси,59.9392674,30.3670460
Дикси,59.9199414,30.2965561
,60.0105714,30.4181474
Пятерочка,60.0157516,30.3993015
Магнит,60.0191124,30.4026820
,59.7387312,30.0897640
Дикси,59.8806766,29.8636158
Пятерочка,59.9205009,30.2975899
,59.8445741,30.2637986
,59.9158688,30.3254833
,60.0294565,30.3662824
Дикси,59.9812175,30.4080308
Дикси,59.9755983,30.4007666
Магнит,59.9736443,30.3989324
Пятерочка,59.9720528,30.3875060
Пятерочка,59.8317851,30.3896535
Верный,59.9447916,30.4966144
Prisma,59.8318421,30.3458295
Пятерочка,60.0130791,30.4296375
,60.0569304,30.4769150
Магнит,59.7816634,30.1362988
Дикси,59.9695316,30.4051186
Магнит,59.9746988,30.3909617
Семишагофф,59.9785709,30.3992371
Пятерочка,59.9113636,30.2894225
Магнит,60.0025329,30.3245350
Дикси,59.9085185,30.2965676
Пятерочка,60.0132329,30.3680709
,60.1425553,30.2082487
Пятерочка,59.9049920,30.4832148
Дикси,59.9428578,30.3464066
,59.8851904,30.4270619
,59.8741073,30.3046004
Пятерочка,59.9117096,30.2825035
,59.9126401,30.3142702
,59.8510520,30.2402224
,59.9068784,30.3188311
Магнит,59.8595438,30.3146376
Пятерочка,59.8604946,30.3145939
,59.8658821,30.4556443
Магнит,59.9111729,30.3180574
О’кей,59.8782033,30.3574527
Дикси,59.9393852,30.3615106
Пятерочка,60.0285266,30.2961675
,59.8525045,30.2603398
Пятерочка,59.9255250,30.2834147
Пятерочка,60.0634475,30.3076831
Пятерочка,60.0478834,30.3751857
Пятерочка,60.0432005,30.3334539
Пятерочка,60.0424423,30.3409348
Пятерочка,60.0429980,30.3265485
Пятерочка,60.0075231,30.2938732
Дикси,59.9450725,30.2868089
Spar,59.9445506,30.2840605
Дикси,59.9478561,30.2734518
,60.0045337,30.2059992
Пятерочка,59.8474909,30.3053795
Дикси,59.8480588,30.3152605
Дикси,59.9382129,30.3721687
Семишагофф,59.9399036,30.2669531
Дикси,59.8614637,30.3327034
Пятерочка,59.8412497,30.1744467
Дикси,59.8462676,30.2452475
Дикси,60.0389310,30.4001405
Дикси,59.9888227,30.2171574
Магнит,59.9397751,30.4951771
Семишагофф,59.9305893,30.6253270
Пятерочка,60.0262939,30.2245685
,60.0084303,30.2622419
Семишагофф,60.0179416,30.2437278
Перекресток,60.0216283,30.2451159
,59.9134086,30.5095572
,59.8733087,30.3068221
Дикси,59.9042382,30.4768020
,59.8971618,30.2775638
Перекресток,59.9007722,30.2724316
,59.6639114,30.1039614
,59.9435901,30.3887828
,60.0360723,30.3447996
Перекресток,60.0417616,30.3403534
Пятерочка,60.0087893,30.3437683
Перекресток,60.0075201,30.3273027
Пятерочка,60.0031226,30.3329131
,60.1491841,30.5112834
Пятерочка,59.8709832,30.3113125
Перекресток,59.9499884,30.4881182
,59.6626386,30.1017873
,59.6690383,30.0549431
Дикси,59.9235767,30.4567200
Пятерочка,59.9458419,30.4895632
Дикси,59.9301718,30.3223132
,59.8562203,30.2558454
Пятерочка,59.9489515,30.4752192
,60.0851683,29.9544849
Пятерочка,59.9577861,30.2905101
,59.8569520,30.2558789
Магнит,60.0077548,30.3989085
,60.0835372,29.9547778
,59.9010062,30.4699866
,60.0750085,30.2362141
Дикси,59.8284435,30.3341787
Дикси,60.0692987,30.3944171
,59.7537043,29.7129471
,59.8834702,30.4690663
Пятерочка,59.9801652,30.5079674
Пятерочка,60.0238207,30.6319869
Дикси,59.9295034,30.6304094
Дикси,60.0000674,30.3158826
Дикси,59.9097383,30.2752899
Prisma,59.9148625,30.3493044
Дикси,59.9429621,30.3219292
,59.8366739,30.3580444
Пятерочка,59.8562180,30.3063585
Пятерочка,59.8601161,30.3065989
Дикси,60.0038991,30.2038766
,59.8714649,30.3162751
Prisma,59.8702599,30.3789599
Дикси,59.9550750,30.2972949
,59.6755475,29.8510091
Пятерочка,59.6999776,29.9469819
Дикси,59.9421739,30.4694473
Пятерочка,59.8299256,30.2037444
Дикси,60.0365454,30.4201358
Дикси,60.0315525,30.4305738
Семишагофф,60.0337019,30.4254468
Магнит,60.0339345,30.4206609
Дикси,60.0403838,30.3723846
Дикси,60.0385195,30.3707630
,60.0388226,30.3709529
Перекресток,60.0125196,30.3982562
,59.9228227,30.3418335
Перекресток,59.9458414,30.2154166
Пятерочка,59.9833833,30.2147719
Пятерочка,59.6638739,30.1190512
,59.7252024,30.4161979
Пятерочка,59.9276330,30.4714382
Ашан,60.0531460,30.3891880
Перекресток,59.9666872,30.2875985
,59.9577948,30.3202371
Пятерочка,59.8396045,30.1471122
,59.8404123,30.3103137
Пятерочка,59.8335117,30.1783915
Магнит,59.8325975,30.1828939
Дикси,59.8354608,30.1766223
Магнит,60.0520752,30.3631965
Дикси,59.8755946,30.3358946
Дикси,60.0070692,30.6073174
Пятерочка,59.8559694,30.3603663
,59.8514049,30.4141065
Семишагофф,59.9286253,30.3774668
Семишагофф,59.9373736,30.3714267
Семишагофф,59.9406450,30.3481119
,59.9961229,30.2016602
,59.8071502,30.3717333
Дикси,59.9797791,30.3448146
Лента,59.7302564,30.6155342
Перекресток,60.0234990,30.2835326
Пятерочка,59.9627221,30.4125409
Пятерочка,60.0076803,30.6126066
,59.8497861,30.2812962
,59.8501642,30.2812881
Prisma,59.9856251,30.2036249
,59.9113327,30.3477109
,59.8300536,30.5138753
,59.8265043,30.3270433
,59.9312203,30.4074611
Магнит,59.8798334,30.4633619
Дикси,59.9621490,30.3148000
,59.9349025,30.4070794
Дикси,59.9366598,30.4077647
Пятерочка,59.9164407,29.7715185
Дикси,59.8766829,30.3765264
Дикси,59.9076245,30.3460544
Дикси,59.8355230,30.4269258
Дикси,59.9588236,30.2967896
,60.0082368,30.2578037
,60.0000650,30.2080138
Пятерочка,59.8283332,30.3839659
Дикси,59.9424540,30.2320875
Перекресток,59.9382229,30.2307884
Пятерочка,59.8674307,30.2748403
Пятерочка,59.8586263,30.3382009
,59.9223855,30.3075736
Дикси,59.9228804,30.3078135
Prisma,59.8825528,30.3706807
Дикси,59.7539578,29.7124171
Магнит,59.8718365,30.2587535
Пятерочка,59.9185324,30.2812955
Дикси,59.8369270,30.2633426
Магнит,59.9257958,30.3151018
Магнит,59.8693475,30.4395420
Дикси,59.8735342,30.2582756
Дикси,59.8599726,30.2369314
,59.8514896,30.2648368
,60.0003331,30.3634129
Пятерочка,59.9102217,30.3140384
Пятерочка,59.8658035,30.3845347
Семишагофф,59.9589473,30.4274901
Дикси,59.9243227,30.3052909
,59.9834211,30.3967348
,59.8395481,30.4939472
,59.8761591,30.3240582
Магнит,59.8730979,30.2648204
Перекресток,59.9594076,30.2895259
,59.8558830,30.4762488
Дикси,59.8579556,30.1976916
Пятерочка,59.9389699,30.3480213
,59.9441023,30.3556076
Дикси,59.8579658,30.1802290
Дикси,59.8604260,30.1867519
Дикси,59.9570645,30.3104238
Дикси,59.9265816,30.3322060
Пятерочка,59.9462137,30.3666034
Пятерочка,59.8448627,30.2718899
,59.8326149,30.1981894
Дикси,59.9238356,30.3292796
,59.8826760,30.4717767
,59.8447181,30.3746686
Дикси,59.9306307,30.4224191
Магнит,59.8586584,30.1946523
,59.8906788,30.4175433
,59.8620945,30.1955494
,59.9858542,30.2928979
Дикси,59.8271408,30.1406157
,59.9122395,29.7768890
,59.9104274,29.7727893
Дикси,59.9153151,29.7683651
Пятерочка,59.9043803,29.7700260
Дикси,59.8777008,29.8954388
Семишагофф,60.0492295,30.3459652
,59.8526859,30.0356208
Дикси,59.9911642,30.4289397
Дикси,59.9908100,30.4302667
Магнит,59.8453156,30.3892156
,59.8769068,30.2744410
Дикси,59.9248370,30.4758200
,59.8523841,30.2304389
,60.0258285,30.2975185
Магнит,60.0274494,30.2966524
Семишагофф,60.0076754,30.4208730
Дикси,59.8745125,30.2618272
Перекресток,59.7381080,30.4636909
Дикси,60.0074992,30.4175095
Пятерочка,60.0081035,30.4071946
,59.9785590,30.4052143
Семишагофф,60.0377234,30.3439852
Дикси,60.0385965,30.3579555
Дикси,59.9263384,30.3470531
,59.7298695,30.4087598
Магнит,60.0495075,30.3338134
Пятерочка,60.0460570,30.3370158
Магнит,59.9655402,30.3505531
Дикси,59.9632377,30.4151530
Дикси,59.9853047,30.2650319
Семишагофф,59.9870388,30.2600921
Перекресток,59.9555369,30.4098438
Дикси,59.9870259,30.2902866
,59.6819216,30.4635279
,60.0622554,30.3068585
Дикси,59.9969110,30.3805842
,60.0452698,30.4631981
Пятерочка,59.8758253,30.2710495
Магнит,60.0193615,30.2684105
,60.0201323,30.2682903
